good_key,product_group,cn_code,goods_description
7222-other-bars-and-rods-of-stainless-steel-a,Iron and steel,7222,"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s."
722211-bars-and-rods-of-stainless-steel-only-ho,Iron and steel,7222 11,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of circular cross-section"
722219-bars-and-rods-of-stainless-steel-only-ho,Iron and steel,7222 19,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only extruded (excl. of circular cross-section)"
722220-other-bars-and-rods-of-stainless-steel-n,Iron and steel,7222 20,"Other bars and rods of stainless steel, not further worked than cold-formed or cold-finished"
722230-other-bars-and-rods-of-stainless-steel-c,Iron and steel,7222 30,"Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or not further worked than forged, or forged, or hot-formed by other means and further worked, n.e.s."
722240-angles-shapes-and-sections-of-stainless,Iron and steel,7222 40,"Angles, shapes and sections of stainless steel, n.e.s."
7223-wire-of-stainless-steel-in-coils-excl-ba,Iron and steel,7223,"Wire of stainless steel, in coils (excl. bars and rods)"
722300-wire-of-stainless-steel-in-coils-excl-ba,Iron and steel,7223 00,"Wire of stainless steel, in coils (excl. bars and rods)"
7224-steel-alloy-other-than-stainless-in-ingo,Iron and steel,7224,"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products of alloy steel other than stainless (excl. waste and scrap in ingot form, and products obtained by continuous casting)"
722410-steel-alloy-other-than-stainless-in-ingo,Iron and steel,7224 10,"Steel, alloy, other than stainless, in ingots or other primary forms (excl. waste and scrap in ingot form, and products obtained by continuous casting)"
72249002-semi-finished-products-of-tool-steel,Iron and steel,7224 90 02,Semi-finished products of tool steel
72249003-semi-finished-products-of-high-speed-ste,Iron and steel,7224 90 03,"Semi-finished products of high-speed steel, of square or rectangular cross-section, hot-rolled or obtained by continuous casting the width measuring < twice the thickness"
72249005-semi-finished-products-of-steel-containi,Iron and steel,7224 90 05,"Semi-finished products of steel containing by weight <= 0,7% of carbon, 0,5% to 1,2% of manganese, 0,6% to 2,3% of silicon, or of steel containing by weight >= 0,0008% of boron with any other element < the minimum content referred to in Note 1 f to chapter 72, of square or rectangular cross-section, hot rolled or obtained by continuous casting, the width measuring < twice the thickness"
